Label,Link,Fridge,Freezer,Pantry
"SPAGHETTI  SAUCE / PASTA SAUCE, TOMATO-BASED (INCLUDING MARINARA SAUCE), COMMERCIALLY CANNED OR BOTTLED - OPENED",https://www.stilltasty.com/Fooditems/index/18362,8,150,
"SPAGHETTI SAUCE  / PASTA SAUCE, CREAM-BASED, COMMERCIALLY CANNED OR BOTTLED - UNOPENED",https://www.stilltasty.com/Fooditems/index/18361,,,730
"SPAGHETTI SAUCE / PASTA SAUCE, TOMATO-BASED (INCLUDING MARINARA SAUCE), COMMERCIALLY CANNED OR BOTTLED - UNOPENED",https://www.stilltasty.com/Fooditems/index/18363,,,450
"SPAGHETTI SAUCE MIX, DRY, NON-DAIRY — UNOPENED OR OPENED PACKAGE",https://www.stilltasty.com/Fooditems/index/18270,,,730
"STEAK SAUCE, COMMERCIALLY BOTTLED - OPENED",https://www.stilltasty.com/Fooditems/index/18405,730,,
"STEAK SAUCE, COMMERCIALLY BOTTLED - UNOPENED",https://www.stilltasty.com/Fooditems/index/18406,,,1095
"STIR FRY SAUCE, COMMERCIALLY BOTTLED — OPENED",https://www.stilltasty.com/Fooditems/index/18409,730,,
"STIR FRY SAUCE, COMMERCIALLY BOTTLED — UNOPENED",https://www.stilltasty.com/Fooditems/index/18410,,,1095
"SUKIYAKI  SAUCE, COMMERCIALLY BOTTLED - UNOPENED",https://www.stilltasty.com/Fooditems/index/18442,,,1095
"SUKIYAKI SAUCE, COMMERCIALLY BOTTLED — OPENED",https://www.stilltasty.com/Fooditems/index/18443,730,,
"SWEET & SOUR SAUCE, COMMERCIALLY BOTTLED - OPENED",https://www.stilltasty.com/Fooditems/index/18448,365,,
"SWEET & SOUR SAUCE, COMMERCIALLY BOTTLED - UNOPENED",https://www.stilltasty.com/Fooditems/index/18449,,,1095
"SWEET PICKLES, COMMERCIALLY JARRED, SOLD UNREFRIGERATED - OPENED",https://www.stilltasty.com/Fooditems/index/18959,365,,
"SWEET PICKLES, COMMERCIALLY JARRED, SOLD UNREFRIGERATED - UNOPENED",https://www.stilltasty.com/Fooditems/index/18964,,,730
"TACO SAUCE, COMMERCIALLY BOTTLED - OPENED",https://www.stilltasty.com/Fooditems/index/18465,30,,
"TACO SAUCE, COMMERCIALLY BOTTLED — UNOPENED",https://www.stilltasty.com/Fooditems/index/18466,,,450
"TARTAR SAUCE, COMMERCIALLY BOTTLED - OPENED",https://www.stilltasty.com/Fooditems/index/18484,180,,
"TARTAR SAUCE, COMMERCIALLY BOTTLED — UNOPENED",https://www.stilltasty.com/Fooditems/index/18485,,,450
