Label,Fridge,Freezer,Pantry
"BEETS - FRESH, RAW",14,450,
"TURNIPS - FRESH, RAW",14,270,
VEGETABLE BROTH OR STOCK - HOMEMADE ,3,150,
"VEGETABLE BROTH OR STOCK, COMMERCIALLY CANNED OR PACKAGED, SOLD UNREFRIGERATED - OPENED",4,150,
"VEGETABLE BROTH OR STOCK, COMMERCIALLY CANNED OR PACKAGED, SOLD UNREFRIGERATED — UNOPENED",,,1460
"VEGETABLE JUICE COCKTAIL, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED — OPENED ",12,300,
"VEGETABLE JUICE COCKTAIL, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED — UNOPENED ",,,630
VEGETABLE SOUP - HOMEMADE,3,150,
"VEGETABLE SOUP, COMMERCIALLY CANNED OR PACKAGED, SOLD UNREFRIGERATED— OPENED ",3,150,
"VEGETABLE SOUP, COMMERCIALLY CANNED OR PACKAGED, SOLD UNREFRIGERATED— UNOPENED",,,1460
VEGGIE BURGERS - PURCHASED COMMERCIALLY FROZEN,,180,
"WATER CHESTNUTS - FRESH, RAW",8,,
"WATER CHESTNUTS,  COMMERCIALLY CANNED OR BOTTLED - OPENED",7,,
"WATER CHESTNUTS, COMMERCIALLY CANNED OR BOTTLED - UNOPENED",,,1460
"WATERCRESS - FRESH, RAW",2,,
"YAMS - FRESH, COOKED (INCLUDING BAKED, MASHED, CASSEROLES)",4,330,
"YAMS - FRESH, RAW",,330,6
"YAMS, COMMERCIALLY CANNED OR BOTTLED — OPENED",3,30,
"YAMS, COMMERCIALLY CANNED OR BOTTLED — UNOPENED",,,1460
"ZUCCHINI -  FRESH, RAW, WHOLE",4,330,
APPLE JUICE - COMMERCIALLY FROZEN CONCENTRATE,6,365,
"APPLE JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED - OPENED ",8,300,
"APPLE JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED - UNOPENED",,300,630
"APPLE JUICE, SOLD IN REFRIGERATED CONTAINER - OPENED",8,300,
"APPLE JUICE, SOLD IN REFRIGERATED CONTAINER - UNOPENED",7,300,
APPLES -  COMMERCIALLY FROZEN,,365,
"APPLES - FRESH, RAW, CUT UP",3,330,
"APPLES - FRESH, RAW, WHOLE",30,330,6
"APPLES, DRIED - UNOPENED OR OPENED PACKAGE",270,450,270
"APPLESAUCE, COMMERCIALLY BOTTLED OR PACKAGED, SOLD UNREFRIGERATED - OPENED ",7,30,
"APPLESAUCE, COMMERCIALLY BOTTLED OR PACKAGED, SOLD UNREFRIGERATED - UNOPENED",,30,450
"APRICOT NECTAR, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED - OPENED",6,300,
"APRICOT NECTAR, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED - UNOPENED",,300,450
"APRICOTS — FRESH, RAW, CUT UP",3,330,
"APRICOTS - FRESH, RAW, WHOLE",4,330,2
APRICOTS — COMMERCIALLY FROZEN,,365,
